
=====================
|Traveling the rides|
1562 time: 22800
7093 time: 39544
2155 time: 48810
2142692==========220 time: 48810
179 time: 35178
904 time: 36101
1559 time: 37699
1588 time: 39641
2156 time: 41860
539 time: 49581
2149617==========221 time: 49581
2312 time: 23181
300 time: 24351
1678 time: 27659
1681 time: 35927
642 time: 37691
1210 time: 39289
1195 time: 41211
1262 time: 43377
1103 time: 46374
2161000==========222 time: 46374
1337 time: 27230
1694 time: 29287
972 time: 33848
1286 time: 38683
1659 time: 40473
1638 time: 44384
913 time: 46591
2170499==========223 time: 46591
1058 time: 22740
1196 time: 27544
505 time: 28577
1397 time: 31743
848 time: 42523
1645 time: 45186
1109 time: 47326
1452 time: 49359
2179709==========224 time: 49359
1963 time: 32853
2630 time: 35870
2013 time: 42753
1876 time: 45824
382 time: 49161
2188573==========225 time: 49161
752 time: 31353
1068 time: 34320
1692 time: 36051
1092 time: 38204
1335 time: 41327
1756 time: 43652
1540 time: 45817
2197808==========226 time: 45817
372 time: 25030
2214 time: 27735
1244 time: 38950
1820 time: 46321
1387 time: 49561
2204845==========227 time: 49561
1075 time: 27647
526 time: 31259
6983 time: 41190
934 time: 49774
0 time: 52884
2214363==========228 time: 52884
160 time: 27340
1276 time: 29143
300 time: 33262
1529 time: 35652
1763 time: 38348
1304 time: 40567
1561 time: 44369
780 time: 49714
2223036==========229 time: 49714
1920 time: 34570
1518 time: 38243
748 time: 39011
579 time: 47371
2227801==========230 time: 47371
522 time: 21395
6081 time: 28175
383 time: 34411
696 time: 36501
3752 time: 40989
1745 time: 44766
301 time: 46061
2241281==========231 time: 46061
1127 time: 16924
1467 time: 19466
716 time: 21218
1390 time: 24128
767 time: 30841
605 time: 32270
7155 time: 39461
0 time: 48446
0 time: 50154
2254508==========232 time: 50154
398 time: 13935
15815 time: 35720
2270721==========233 time: 35720
260 time: 25866
1549 time: 28576
14204 time: 47688
0 time: 63258
2286734==========234 time: 63258
8204 time: 22338
2166 time: 32091
1271 time: 33666
628 time: 35091
1238 time: 37819
1411 time: 39677
1893 time: 42579
630 time: 44405
1048 time: 45990
1649 time: 48047
2306872==========235 time: 48047
3328 time: 38750
3475 time: 47104
702 time: 49692
2314377==========236 time: 49692
2271 time: 25540
6139 time: 46065
0 time: 51621
2322787==========237 time: 51621
741 time: 18414
2009 time: 26839
2358 time: 33755
1628 time: 35400
1865 time: 40767
2331388==========238 time: 40767
724 time: 33804
427 time: 35605
2162 time: 38465
2220 time: 41816
730 time: 44934
1900 time: 48512
2339551==========239 time: 48512
1339 time: 26383
1016 time: 29177
1258 time: 31386
2098 time: 39619
1558 time: 42566
535 time: 43789
1618 time: 46955
1190 time: 49584
2350163==========240 time: 49584
940 time: 5095
1394 time: 23105
1866 time: 26838
739 time: 29585
1129 time: 32209
1798 time: 34298
1414 time: 37579
1281 time: 39610
3131 time: 46693
2363855==========241 time: 46693
989 time: 23989
2099 time: 27614
1421 time: 29049
3152 time: 38569
1294 time: 42677
824 time: 44442
2373634==========242 time: 44442
1702 time: 19182
221 time: 26077
1012 time: 27937
1848 time: 32560
1860 time: 35705
2001 time: 37785
1522 time: 41147
146 time: 43188
1666 time: 45551
521 time: 47048
2386133==========243 time: 47048
1655 time: 17740
901 time: 18671
1180 time: 30257
2784 time: 33085
2354 time: 42785
2647 time: 45886
1027 time: 49118
2398681==========244 time: 49118
283 time: 13558
285 time: 14973
1131 time: 20804
2017 time: 24660
480 time: 30971
1841 time: 33716
2135 time: 37727
1769 time: 40271
1426 time: 44078
694 time: 49727
2410742==========245 time: 49727
2146 time: 43479
425 time: 45773
729 time: 46513
708 time: 47935
2414750==========246 time: 47935
623 time: 7412
1026 time: 18523
778 time: 21212
1292 time: 23477
7864 time: 32546
1218 time: 43863
2427551==========247 time: 43863
1668 time: 8024
2374 time: 23223
570 time: 24923
1506 time: 27063
10344 time: 37429
1460 time: 48798
0 time: 50180
2445473==========248 time: 50180
1983 time: 16115
954 time: 20998
1612 time: 23134
1759 time: 26907
1393 time: 29888
835 time: 31043
1245 time: 34165
1276 time: 37424
2532 time: 47000
2459062==========249 time: 47000
723 time: 9325
1820 time: 18097
463 time: 29804
791 time: 31426
798 time: 32804
7353 time: 47388
0 time: 56780
2471010==========250 time: 56780
778 time: 30971
1129 time: 32915
944 time: 34313
2902 time: 39732
971 time: 40747
1763 time: 43540
1160 time: 49036
2480657==========251 time: 49036
1015 time: 17246
1770 time: 30828
2533 time: 37111
688 time: 38849
980 time: 41242
1318 time: 44177
1963 time: 48753
2490924==========252 time: 48753
2436 time: 25785
1992 time: 40167
1928 time: 45583
2497280==========253 time: 45583
1261 time: 26608
1366 time: 45819
2499907==========254 time: 45819
1265 time: 31576
2687 time: 35653
447 time: 49160
2504306==========255 time: 49160
600 time: 30493
1496 time: 32632
1836 time: 36618
693 time: 39194
157 time: 49571
2509088==========256 time: 49571
922 time: 11569
2007 time: 19362
888 time: 30739
7551 time: 38663
312 time: 47648
0 time: 50255
2520768==========257 time: 50255
292 time: 3420
9884 time: 42197
2530944==========258 time: 42197
680 time: 23239
1733 time: 33982
667 time: 36497
855 time: 37728
1486 time: 40753
1186 time: 47249
1138 time: 49053
2538689==========259 time: 49053
806 time: 33353
1741 time: 37424
1161 time: 40529
6584 time: 48357
0 time: 56576
2548981==========260 time: 56576
842 time: 37619
2662 time: 42474
626 time: 46033
469 time: 46519
384 time: 48348
2553964==========261 time: 48348
1406 time: 42456
1509 time: 43992
1098 time: 49541
2557977==========262 time: 49541
2092 time: 46963
1321 time: 48297
2561390==========263 time: 48297
9603 time: 47156
2570993==========264 time: 47156
1511 time: 27609
1102 time: 39854
1696 time: 43364
646 time: 44035
600 time: 46458
538 time: 47577
2577086==========265 time: 47577
275 time: 18250
1109 time: 27638
1578 time: 34472
1955 time: 41236
1668 time: 44581
138 time: 45494
292 time: 49739
2584101==========266 time: 49739
740 time: 27545
1738 time: 29294
1490 time: 31107
2089 time: 34647
2321 time: 37015
7133 time: 49736
0 time: 57717
2599612==========267 time: 57717
650 time: 47716
2600262==========268 time: 47716
504 time: 39797
1348 time: 44403
973 time: 46729
768 time: 49287
2603855==========269 time: 49287
943 time: 26415
1812 time: 41826
7372 time: 49931
2613982==========270 time: 49931
2733 time: 36703
955 time: 38737
934 time: 42095
974 time: 43708
1319 time: 45730
2620897==========271 time: 45730
2315 time: 23763
1776 time: 28584
1470 time: 49750
2626458==========272 time: 49750
6729 time: 21501
7098 time: 36075
2708 time: 46531
2642993==========273 time: 46531
2944 time: 16302
2098 time: 44666
1538 time: 48406
145 time: 48815
2649718==========274 time: 48815
2929 time: 9279
8760 time: 40897
0 time: 51750
2661407==========275 time: 51750
1141 time: 28404
2036 time: 41062
2172 time: 43259
595 time: 46507
481 time: 47751
2667832==========276 time: 47751
293 time: 29062
11875 time: 45247
0 time: 57785
2680000==========277 time: 57785
1009 time: 15936
9856 time: 34159
630 time: 44611
337 time: 46109
2691832==========278 time: 46109
790 time: 33248
655 time: 34383
1465 time: 38529
1154 time: 40433
1470 time: 44134
1588 time: 47200
787 time: 49914
2699741==========279 time: 49914
608 time: 30861
755 time: 32257
793 time: 33885
2317 time: 37258
1170 time: 40387
2758 time: 44544
1868 time: 48176
2710010==========280 time: 48176
1700 time: 17954
569 time: 24925
880 time: 27823
912 time: 29225
1680 time: 32002
1236 time: 36645
903 time: 39095
399 time: 40339
1155 time: 41842
694 time: 48627
2720138==========281 time: 48627
1026 time: 31740
1346 time: 34214
1640 time: 36493
2129 time: 38635
897 time: 40148
1549 time: 42146
1639 time: 45015
2730364==========282 time: 45015
901 time: 22606
1527 time: 27309
924 time: 39420
684 time: 40130
1157 time: 42577
1115 time: 46119
2214 time: 49432
2738886==========283 time: 49432
811 time: 19920
1342 time: 31521
386 time: 33539
1679 time: 36861
722 time: 38701
761 time: 39848
1379 time: 42594
896 time: 48012
2746862==========284 time: 48012
1067 time: 37078
1805 time: 40344
471 time: 41499
1258 time: 43709
1186 time: 46056
1595 time: 48425
2754244==========285 time: 48425
695 time: 30478
8355 time: 38895
0 time: 47391
0 time: 50275
2763294==========286 time: 50275
1785 time: 27366
2366 time: 31281
2238 time: 34682
1966 time: 43175
906 time: 45666
2772555==========287 time: 45666
360 time: 18323
1398 time: 21656
2217 time: 35281
1832 time: 38155
1719 time: 39905
702 time: 47810
2780783==========288 time: 47810
759 time: 18712
1809 time: 28259
1818 time: 35173
905 time: 37153
628 time: 37799
1371 time: 39735
1260 time: 45851
2789333==========289 time: 45851
733 time: 13986
2003 time: 17690
1040 time: 20428
2290 time: 27702
1124 time: 30861
497 time: 31991
338 time: 32867
413 time: 34218
557 time: 35762
1864 time: 39498
7454 time: 46981
0 time: 55542
2807646==========290 time: 55542
1955 time: 29568
2076 time: 31660
8779 time: 43615
2820456==========291 time: 43615
1263 time: 27324
8001 time: 35335
691 time: 47473
0 time: 50736
2830411==========292 time: 50736
198 time: 36498
431 time: 37645
912 time: 38862
2421 time: 42523
1759 time: 47655
2836132==========293 time: 47655
2024 time: 30828
1925 time: 34141
1149 time: 43323
2541 time: 48441
2843771==========294 time: 48441
2503 time: 10793
1249 time: 15726
1053 time: 24807
13081 time: 38983
0 time: 54615
2861657==========295 time: 54615
574 time: 30095
815 time: 36432
558 time: 37378
720 time: 38424
1257 time: 41242
446 time: 41899
1152 time: 43069
1946 time: 47010
2869125==========296 time: 47010
972 time: 29763
1611 time: 32495
796 time: 33871
553 time: 35146
774 time: 37098
2085 time: 40774
1672 time: 47696
2877588==========297 time: 47696
1518 time: 5939
16048 time: 48172
0 time: 65757
2895154==========298 time: 65757
156 time: 26067
5209 time: 32261
665 time: 47564
2901184==========299 time: 47564
2286 time: 9194
1861 time: 26299
1253 time: 30391
975 time: 31399
997 time: 37550
311 time: 37871
1720 time: 39618
942 time: 42417
1114 time: 44422
2912643==========300 time: 44422
1396 time: 18618
1923 time: 27702
2492 time: 36983
2349 time: 39370
1742 time: 44188
1160 time: 46741
2923705==========301 time: 46741
354 time: 25587
2263 time: 33427
1564 time: 40028
811 time: 41910
667 time: 43819
1115 time: 44946
1157 time: 47253
2931636==========302 time: 47253
1679 time: 34269
575 time: 35629
1201 time: 36835
976 time: 39542
0 time: 40082
1302 time: 41930
814 time: 44299
2938183==========303 time: 44299
1792 time: 16756
668 time: 20128
1249 time: 24668
823 time: 26663
425 time: 28499
680 time: 29893
837 time: 31551
629 time: 32664
1865 time: 35214
517 time: 35957
1558 time: 37939
2133 time: 42167
1519 time: 47381
2952878==========304 time: 47381
172 time: 32132
1170 time: 34352
1796 time: 36837
2005 time: 39895
6628 time: 48733
2964649==========305 time: 48733
1637 time: 9096
8186 time: 19379
680 time: 27387
1460 time: 29928
2839 time: 33443
1516 time: 44458
1471 time: 48615
2982438==========306 time: 48615
1172 time: 33608
478 time: 35018
993 time: 38949
7056 time: 47149
2992137==========307 time: 47149
909 time: 33844
589 time: 35347
1244 time: 36728
514 time: 46459
2995393==========308 time: 46459
264 time: 21316
1738 time: 23068
2994 time: 26175
1762 time: 36874
1640 time: 45194
1287 time: 48158
3005078==========309 time: 48158
336 time: 27400
8024 time: 49503
0 time: 59234
3013438==========310 time: 59234
260 time: 30406
2202 time: 33922
1584 time: 39191
1067 time: 40301
877 time: 41545
812 time: 42465
3020240==========311 time: 42465
540 time: 33397
498 time: 35412
2918 time: 39704
1417 time: 41161
1110 time: 42284
2416 time: 48571
3029139==========312 time: 48571
1755 time: 17781
1453 time: 20579
950 time: 34268
98 time: 35023
1590 time: 36623
193 time: 38171
981 time: 39313
1251 time: 41095
1095 time: 43910
588 time: 45546
3039093==========313 time: 45546
1780 time: 29878
1350 time: 33563
1120 time: 34706
1275 time: 36452
2981 time: 39636
1194 time: 45695
3048793==========314 time: 45695
1058 time: 42211
2919 time: 46976
345 time: 48348
3053115==========315 time: 48348
1217 time: 27469
2067 time: 36112
1467 time: 39083
1342 time: 42073
1232 time: 43943
1369 time: 47367
3061809==========316 time: 47367
1184 time: 38427
7915 time: 48264
0 time: 58152
3070908==========317 time: 58152
1428 time: 42627
2185 time: 45849
1208 time: 48674
3075729==========318 time: 48674
1214 time: 24205
858 time: 25082
563 time: 33531
976 time: 35184
1937 time: 37831
1821 time: 46247
840 time: 47693
1588 time: 49970
3085526==========319 time: 49970
1848 time: 17106
1986 time: 20962
1367 time: 49740
3090727==========320 time: 49740
583 time: 10898
14144 time: 26500
2271 time: 47066
870 time: 48520
3108595==========321 time: 48520
1695 time: 24716
2399 time: 31098
0 time: 33088
1577 time: 35636
2280 time: 40595
1354 time: 43466
1306 time: 45766
3119206==========322 time: 45766
148 time: 22657
688 time: 23558
8158 time: 32889
2986 time: 41718
1100 time: 43116
1649 time: 46354
3133935==========323 time: 46354
1296 time: 35907
1759 time: 37695
1183 time: 38899
1793 time: 42021
1729 time: 49914
3141695==========324 time: 49914
1314 time: 4594
1061 time: 16380
2300 time: 23195
1481 time: 26634
1173 time: 29307
892 time: 30477
1367 time: 32593
666 time: 36920
1157 time: 43815
1118 time: 45667
1209 time: 47615
3155433==========325 time: 47615
1872 time: 37845
945 time: 40217
1048 time: 46437
3159298==========326 time: 46437
1241 time: 22755
1540 time: 25323
2274 time: 29983
1687 time: 32529
769 time: 34583
507 time: 36399
520 time: 40266
1078 time: 42028
1152 time: 45210
1526 time: 47584
3171592==========327 time: 47584
481 time: 19687
619 time: 21619
1435 time: 23894
1045 time: 26685
1562 time: 29622
547 time: 31515
570 time: 38240
375 time: 47300
923 time: 48867
3179149==========328 time: 48867
1118 time: 19120
1159 time: 21084
972 time: 22616
1730 time: 25360
863 time: 27606
618 time: 28509
2691 time: 31209
620 time: 33208
1865 time: 45846
1363 time: 47736
1197 time: 49408
3193345==========329 time: 49408
710 time: 24337
531 time: 25351
649 time: 26688
1860 time: 30987
1074 time: 32075
1655 time: 44255
3199824==========330 time: 44255
979 time: 21422
4687 time: 26938
1533 time: 39517
414 time: 43614
571 time: 45163
1701 time: 48061
3209709==========331 time: 48061
2961 time: 41843
3505 time: 47419
903 time: 49840
3217078==========332 time: 49840
7652 time: 12048
1323 time: 22209
1990 time: 24931
1362 time: 26321
1075 time: 28208
1306 time: 42271
1190 time: 45085
3232976==========333 time: 45085
1762 time: 15622
2326 time: 32735
1251 time: 35137
725 time: 39988
479 time: 46161
488 time: 47378
3240007==========334 time: 47378
918 time: 32083
742 time: 42266
1778 time: 44273
399 time: 46442
3243844==========335 time: 46442
1287 time: 23184
1496 time: 36874
1211 time: 38920
1296 time: 40446
799 time: 41644
1421 time: 45397
772 time: 46390
1111 time: 48510
3253237==========336 time: 48510
436 time: 16626
9999 time: 38990
0 time: 49499
0 time: 51090
3263672==========337 time: 51090
589 time: 19925
10658 time: 41245
0 time: 54460
3274919==========338 time: 54460
884 time: 12757
564 time: 14513
1334 time: 17679
1360 time: 22930
1964 time: 26062
13427 time: 43951
0 time: 59062
3294452==========339 time: 59062
976 time: 21932
1373 time: 30719
1757 time: 32663
1997 time: 37194
522 time: 49113
3301077==========340 time: 49113
4404 time: 9498
1210 time: 15055
769 time: 16572
10890 time: 29351
3426 time: 41180
1941 time: 43864
0 time: 46247
3323717==========341 time: 46247
518 time: 10859
475 time: 24113
1410 time: 26407
1263 time: 28225
1519 time: 35465
1359 time: 48729
3330261==========342 time: 48729
915 time: 18265
1393 time: 21455
330 time: 22288
1924 time: 29525
2747 time: 32345
933 time: 33878
872 time: 44622
922 time: 46566
1133 time: 49047
3341430==========343 time: 49047
462 time: 24111
2236 time: 32649
1420 time: 42280
769 time: 43066
1266 time: 47015
3347583==========344 time: 47015
1916 time: 30200
1980 time: 34416
1292 time: 43411
2269 time: 47699
3355040==========345 time: 47699
1044 time: 31805
764 time: 33436
1189 time: 35775
756 time: 37823
1485 time: 42353
2107 time: 49508
3362385==========346 time: 49508
1363 time: 12441
1228 time: 30927
1296 time: 32246
1257 time: 42019
1643 time: 45073
3369172==========347 time: 45073
1764 time: 26956
1842 time: 40104
2043 time: 47939
319 time: 49624
3375140==========348 time: 49624
2704 time: 37271
1319 time: 39804
1252 time: 42140
924 time: 46813
1850 time: 49107
3383189==========349 time: 49107
8384 time: 11622
3440 time: 44665
1341 time: 47036
154 time: 47852
0 time: 50036
3396508==========350 time: 50036
363 time: 46498
1473 time: 48476
3398344==========351 time: 48476
520 time: 43924
1967 time: 46274
200 time: 47014
272 time: 47771
1369 time: 49380
3402672==========352 time: 49380
688 time: 18441
2481 time: 37233
807 time: 41637
979 time: 44482
1494 time: 46004
0 time: 47962
0 time: 51332
3409121==========353 time: 51332
839 time: 25685
1574 time: 40098
1149 time: 42092
1074 time: 45529
3413757==========354 time: 45529
1857 time: 16728
1104 time: 19735
2021 time: 27960
777 time: 33390
1168 time: 40958
1814 time: 43789
1924 time: 46900
3424422==========355 time: 46900
1231 time: 26325
2781 time: 35445
2075 time: 38871
1315 time: 41919
744 time: 43351
1419 time: 45584
1130 time: 49009
3435117==========356 time: 49009
548 time: 17131
2611 time: 33273
1994 time: 41550
1848 time: 49578
3442118==========357 time: 49578
1707 time: 23085
13118 time: 47075
3456943==========358 time: 47075
958 time: 21222
863 time: 25652
1146 time: 27816
1839 time: 29707
2480 time: 34718
1006 time: 37086
1924 time: 41631
1435 time: 43804
1519 time: 45335
629 time: 47489
3470742==========359 time: 47489
1396 time: 22933
2027 time: 25023
9159 time: 49498
3483324==========360 time: 49498
916 time: 28275
1256 time: 39543
1121 time: 42226
822 time: 45626
3487439==========361 time: 45626
858 time: 6586
1798 time: 25414
1735 time: 38208
680 time: 39795
1458 time: 41465
583 time: 43484
351 time: 44187
1052 time: 46567
3495954==========362 time: 46567
1338 time: 14500
495 time: 15011
1847 time: 25062
1053 time: 34480
582 time: 36294
701 time: 37339
2004 time: 40432
984 time: 42158
1039 time: 43411
1100 time: 46504
3507097==========363 time: 46504
7990 time: 46657
3515087==========364 time: 46657
585 time: 13756
1196 time: 20075
1424 time: 22029
914 time: 25654
1331 time: 28661
640 time: 30539
1746 time: 33484
2300 time: 37161
2205 time: 45210
781 time: 49126
3528209==========365 time: 49126
1323 time: 18231
2042 time: 26807
2414 time: 30946
1601 time: 32577
2648 time: 36069
419 time: 40555
936 time: 42588
840 time: 44173
770 time: 46051
3541202==========366 time: 46051
889 time: 27182
1217 time: 28794
3120 time: 32171
812 time: 34449
2025 time: 36484
812 time: 46722
333 time: 47796
3550410==========367 time: 47796
1183 time: 13018
11093 time: 39980
125 time: 49850
3562811==========368 time: 49850
200 time: 45813
578 time: 46945
1022 time: 49384
3564611==========369 time: 49384
1356 time: 15962
2681 time: 32501
2463 time: 43097
1853 time: 45818
902 time: 48163
3573866==========370 time: 48163
1001 time: 27887
2375 time: 30562
1257 time: 35724
1361 time: 39507
206 time: 46672
244 time: 48208
3580310==========371 time: 48208
670 time: 24286
1610 time: 27002
1775 time: 30461
869 time: 32557
1286 time: 33854
3055 time: 47421
0 time: 50859
3589575==========372 time: 50859
1259 time: 41987
959 time: 44089
1353 time: 46417
457 time: 47924
701 time: 49774
3594304==========373 time: 49774
1040 time: 17366
1824 time: 34611
1887 time: 40827
1296 time: 42943
1556 time: 44537
348 time: 45393
712 time: 47152
3602967==========374 time: 47152
382 time: 23623
1409 time: 34299
851 time: 35169
1457 time: 37576
1329 time: 42418
1068 time: 43912
437 time: 45416
836 time: 46618
1048 time: 48244
3611784==========375 time: 48244
278 time: 30764
534 time: 35561
1126 time: 38127
721 time: 40044
1590 time: 42765
1743 time: 45506
3617776==========376 time: 45506
1026 time: 23494
1422 time: 24924
1595 time: 43040
660 time: 45924
3622479==========377 time: 45924
1188 time: 27488
2013 time: 29518
7613 time: 37152
2484 time: 45789
315 time: 46123
1839 time: 48370
0 time: 50669
3637931==========378 time: 50669
951 time: 29577
815 time: 30419
2059 time: 35669
1994 time: 37680
906 time: 47109
3644656==========379 time: 47109
957 time: 4911
1115 time: 21898
1426 time: 27408
1580 time: 30282
918 time: 31885
1831 time: 34322
834 time: 35172
1040 time: 37431
2331 time: 48829
3656688==========380 time: 48829
352 time: 21163
1246 time: 23308
1663 time: 36525
1688 time: 40026
1406 time: 42027
1302 time: 48986
3664345==========381 time: 48986
769 time: 21312
3263 time: 29069
3271 time: 32389
3026 time: 44643
518 time: 46102
1382 time: 48909
3676574==========382 time: 48909
1071 time: 12175
2238 time: 16293
1032 time: 20032
1308 time: 21350
3291 time: 25478
1149 time: 37132
605 time: 41542
474 time: 42975
1182 time: 44615
667 time: 46204
343 time: 47434
612 time: 48614
471 time: 49418
3691017==========383 time: 49418
1305 time: 25404
1494 time: 28285
868 time: 30295
1380 time: 32339
1720 time: 36056
1258 time: 49219
3699042==========384 time: 49219
1179 time: 26190
1442 time: 28796
1028 time: 35224
1821 time: 38434
885 time: 39345
1788 time: 44634
352 time: 47194
1292 time: 48989
3708829==========385 time: 48989
614 time: 15468
1229 time: 19789
1555 time: 33664
1827 time: 38137
1849 time: 40033
544 time: 49030
3716447==========386 time: 49030
1146 time: 13815
1425 time: 49174
3719018==========387 time: 49174
9464 time: 12483
2037 time: 35487
1683 time: 37614
1242 time: 48965
3733444==========388 time: 48965
1870 time: 36609
2444 time: 40858
8272 time: 49180
0 time: 58476
3746030==========389 time: 58476
793 time: 18833
479 time: 29101
1147 time: 32779
1666 time: 36087
1567 time: 40272
1014 time: 42860
1134 time: 45743
3753830==========390 time: 45743
949 time: 7993
1587 time: 28896
1212 time: 31925
1337 time: 43427
2335 time: 47311
2283 time: 49639
0 time: 52504
3763533==========391 time: 52504
856 time: 25431
1769 time: 29954
1243 time: 32955
1803 time: 35630
313 time: 36134
931 time: 38681
1355 time: 40883
1722 time: 43751
495 time: 46463
3774020==========392 time: 46463
637 time: 21104
2260 time: 41274
856 time: 45810
3777773==========393 time: 45810
777 time: 17147
1180 time: 19823
1409 time: 33122
1159 time: 34300
1289 time: 35954
1488 time: 38203
613 time: 47659
3785688==========394 time: 47659
1089 time: 35139
1076 time: 38424
1858 time: 40297
1667 time: 43812
1562 time: 48400
3792940==========395 time: 48400
1500 time: 36439
1142 time: 39578
2562 time: 43227
0 time: 43823
2196 time: 46062
1395 time: 49790
0 time: 51059
3801735==========396 time: 51059
810 time: 39650
1034 time: 40688
2097 time: 43476
3805676==========397 time: 43476
1470 time: 29102
1227 time: 34972
508 time: 37336
2707 time: 41170
1734 time: 49130
3813322==========398 time: 49130
793 time: 17566
1996 time: 33187
1279 time: 34551
2842 time: 45042
989 time: 48559
0 time: 51139
3821221==========399 time: 51139
637 time: 23387
1976 time: 35599
2111 time: 40321
820 time: 45954
1301 time: 49700
3828066==========400 time: 49700

Points collected: 3828066

Total lines with errors reading solution file: 0

Total rides with errors during the travel: 59
33    Elapsed time before ride is greater than latest finish time!
59    Elapsed time after finish is greater than latest finish time!
0    Number of assigned rides must be positive and smaller or equal the number of all rides!
0    Line contains letters or symbols!
0    Ride does not/cannot exist!
0    The number of rides is different than declared!
0    Contains trailing non eol whitespace!
0    Ride has already been assigned!
0    Contains double whitespaces!

Would you like to see a more detailed description of errors?  ---------------------------Errors reading solution file: 
Total errors : 0
 ---------------------------Errors traveling the rides: 
Total errors : 59
ERROR:
  Vehicle number: 2  	Ride number: 4
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 2  	Ride number: 5
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 2  	Ride number: 6
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 5  	Ride number: 6
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 6  	Ride number: 4
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 34  	Ride number: 8
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 37  	Ride number: 3
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 37  	Ride number: 4
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 55  	Ride number: 6
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 59  	Ride number: 3
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 61  	Ride number: 4
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 70  	Ride number: 8
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 71  	Ride number: 4
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 87  	Ride number: 3
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 97  	Ride number: 5
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 104  	Ride number: 4
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 106  	Ride number: 5
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 117  	Ride number: 4
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 125  	Ride number: 3
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 133  	Ride number: 4
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 142  	Ride number: 5
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 148  	Ride number: 4
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 228  	Ride number: 5
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 232  	Ride number: 8
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 232  	Ride number: 9
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 234  	Ride number: 4
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 237  	Ride number: 3
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 248  	Ride number: 7
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 250  	Ride number: 7
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 257  	Ride number: 6
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 260  	Ride number: 5
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 267  	Ride number: 7
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 275  	Ride number: 3
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 277  	Ride number: 3
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 286  	Ride number: 3
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 286  	Ride number: 4
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 290  	Ride number: 12
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 292  	Ride number: 4
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 295  	Ride number: 5
    Elapsed time after finish is greater than latest finish time!
ERROR:
  Vehicle number: 298  	Ride number: 3
    Elapsed time before ride is greater than latest finish time!
    Elapsed time after finish is greater than latest finish time!
